Source: sourcetag (For global data see Assumptions.txt with notes by Viktor Rosenberg 2026.07.21); timestamp; name <email>
HOUR,AT,BE,BG,CH,CZ,DE,DK,ES,FI,FR,GR,HR,HU,IE,IT,LU,NL,NO,PL,PT,RO,SE,SI,SK,UK,EE,LT,LV,NONEU_Balkan,TR,Africa,Asia-Rest,China,Europe,FSU,India,Japan + Republic of Korea,Central & South America,Middle East,North America,Oceania
38,0.1886558,0.069207,0.2816475,0.34442425,0.2058275,0.14606315,0.1212899,0.39935635,4.641e-4,0.2261714,0.27706005,0.126176869,0.1432845,0.0789004,0.18200625,0.05774985,0.1739491,0.0154598,0.05711065,0.4551699,0.2717331,0.02556715,0.0751179,0.0800547,0.0324445,0.00673625,0.0214183,0.01232075,0.2492744,0.27706005,0.5579901665344964,0.001219392917369309,0,0.11611192660550455,0.007378817733990149,0.012128313253012049,0,0.3315747591522158,0.2822484978540773,0.017282093862815883,0
39,0.1224935,0.05010665,0.1690718,0.2711126,0.11822055,0.0941698,0.0367268,0.36839765,0,0.19012375,0.1759109,0.079842838,0.0805409,0.0846838,0.13177125,0.0764609,0.08724145,0.00289085,0.02488035,0.43166145,0.14812865,0.0059177,0.04896,0.0407184,0.0277814,0,0.0028339,2.822e-4,0.15249799,0.1759109,0.4575475812846946,1.642495784148398e-4,0,0.07099678899082569,9.453201970443348e-4,0,0,0.4353832369942196,0.10374592274678111,0.04137805054151625,0
40,0.03776975,0.01558985,0.03402975,0.12852,0.02951625,0.02962845,0.0025228,0.2905011,0,0.1176281,0.05290315,0.022671838,0.01486735,0.0702797,0.06071295,0.02930035,0.02575245,0,0.0013668,0.3638816,0.01901365,6.715e-5,0.0157403,0.00528955,0.0138176,0,0,0,0.037471598,0.05290315,0.3229586835844568,0,0,0.02926896024464832,0,0,0,0.508064450867052,0.00873862660944206,0.06949826714801444,0
41,4.2755e-4,1.904e-4,0,0.0143752,0,2.737e-4,0,0.16450815,0,0.03292985,0,0,0,0.029648,0.0069751,5.389e-4,1.53e-5,0,0,0.2484244,0,0,0,0,0.0012087,0,0,0,0,0,0.18377359238699445,0,0,0.007042354740061163,0,0,0,0.546961464354528,0,0.09776462093862812,0
42,0,0,0,0,0,0,0,0.03242665,0,7.565e-5,0,0,0,7.65e-5,0,0,0,0,0,0.09376605,0,0,0,0,0,0,0,0,0,0,0.07963497224425059,0,0,0.00211085626911315,0,0,0,0.5479483622350675,0,0.13018057761732854,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025355590800951625,0,0,0,0,0,0,0.5113508670520233,0,0.1495337906137184,4.2057613168724274e-4
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005608564631245044,0,0,0,0,0,0,0.4278311175337187,0,0.13817003610108303,0.011234876543209878
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3164118497109827,0,0.10307675090252708,0.055408230452674886
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19636974951830444,0,0.06395393501805054,0.14900216049382717
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003997470489038786,0,0,0,0,6.150602409638554e-4,0.09211300578034684,0,0.03424765342960289,0.2742116255144033
