Source: sourcetag (For global data see Assumptions.txt with notes by Viktor Rosenberg 2026.07.21); timestamp; name <email>
HOUR,AT,BE,BG,CH,CZ,DE,DK,ES,FI,FR,GR,HR,HU,IE,IT,LU,NL,NO,PL,PT,RO,SE,SI,SK,UK,EE,LT,LV,NONEU_Balkan,TR,Africa,Asia-Rest,China,Europe,FSU,India,Japan + Republic of Korea,Central & South America,Middle East,North America,Oceania
2021,0,0.485,0.235,0,0,0.787673685,0.385681669,0.921,0.308,0.35300975,0.966,0.868,0,0.910664129,0.35,0,0.891550402,0.991,0.124,0.183,0.163,0.416920869,0.490164653,0,0.809021661,0.145916765,0.053742244,0.053742244,0.695,0.597,0.3332038461538462,0.30997142857142856,0.14641969696969695,0.24701851851851853,0.09585000000000005,3.5e-4,0.1980083333333333,0.4438,0.21971428571428567,0.4821297297297297,0.6010714285714286
2022,0,0.449,0.199,0,0,0.786294036,0.372181748,0.884,0.417,0.326181739,0.972,0.86,0,0.903990692,0.362,0,0.88067046,0.989,0.091,0.231,0.127,0.394723198,0.474459142,0,0.791231108,0.146238219,0.046389794,0.046389794,0.668,0.701,0.3206961538461538,0.30177460317460314,0.1480015151515151,0.2267111111111111,0.09018333333333334,3.5e-4,0.22872916666666665,0.43347619047619057,0.21712857142857145,0.4753378378378378,0.6185714285714285
2023,0,0.39,0.208,0,0,0.785066218,0.359322968,0.869,0.542,0.301218151,0.979,0.862,0,0.877046635,0.372,0,0.871547793,0.989,0.079,0.303,0.111,0.373001762,0.451724166,0,0.773969775,0.147594106,0.039787502,0.039787502,0.616,0.705,0.31413076923076927,0.29296825396825393,0.15401060606060607,0.21167777777777777,0.09285,0.0011375,0.26914166666666667,0.41785714285714287,0.2151380952380953,0.4647513513513513,0.6250571428571429
2024,0,0.343,0.239,0,0,0.784001806,0.347157075,0.875,0.727,0.278203864,0.983,0.865,0,0.851105752,0.397,0,0.862412566,0.986,0.099,0.28,0.065,0.35207715,0.432816905,0,0.75749074,0.149988804,0.033924317,0.033924317,0.58,0.638,0.30795384615384613,0.277963492063492,0.1674787878787879,0.2021296296296297,0.09086666666666668,0.0033125,0.3010833333333333,0.4096857142857144,0.2131190476190476,0.46044054054054057,0.6155428571428571
2025,0,0.295,0.276,0,0,0.804487964,0.381362042,0.878,0.797,0.289937301,0.99,0.882,0,0.85722787,0.45,0,0.873703113,0.982,0.092,0.252,0.041,0.386512511,0.437479889,0,0.77329153,0.151398145,0.046241066,0.046241066,0.528,0.612,0.30238076923076923,0.2719428571428571,0.18041666666666664,0.19479259259259257,0.09041666666666669,0.0109875,0.3235708333333333,0.4047809523809524,0.2182809523809524,0.4581081081081081,0.5533714285714286
2026,0,0.253,0.313,0,0,0.827135399,0.417896175,0.882,0.824,0.302836627,0.991,0.905,0,0.868626806,0.456,0,0.885076666,0.972,0.068,0.289,0.033,0.422500943,0.445174224,0,0.789957579,0.152826372,0.062716286,0.062716286,0.356,0.633,0.30895384615384613,0.2700984126984127,0.1964030303030303,0.184925925925926,0.07926666666666667,0.0246,0.3567166666666666,0.41029047619047626,0.23805714285714288,0.46247567567567577,0.4756857142857143
2027,0,0.24,0.345,0,0,0.847696323,0.456355426,0.876,0.819,0.316894023,0.992,0.918,0,0.868770202,0.445,0,0.896515347,0.956,0.061,0.357,0.023,0.459913252,0.447629512,0,0.807110737,0.154284046,0.083690803,0.083690803,0.164,0.697,0.30125,0.23210793650793657,0.18373030303030305,0.18296666666666667,0.08186666666666667,0.020825,0.3070458333333333,0.4007238095238096,0.2383380952380952,0.4610837837837837,0.3536
2028,0,0.262,0.372,0,0,0.869608291,0.496308511,0.865,0.826,0.332093784,0.993,0.92,0,0.871648036,0.475,0,0.907999849,0.932,0.077,0.412,0.013,0.498494948,0.451835069,0,0.823767357,0.155752955,0.109341962,0.109341962,0.062,0.763,0.3038384615384616,0.2368873015873016,0.19617878787878792,0.18474814814814813,0.08163333333333334,0.022487500000000004,0.3431375,0.4406809523809524,0.24478571428571425,0.4881918918918918,0.35625714285714283
2029,0,0.282,0.405,0,0,0.891896956,0.537297856,0.845,0.845,0.348414506,0.992,0.902,0,0.866568895,0.531,0,0.919509087,0.899,0.113,0.441,0.007,0.538081849,0.45243883,0,0.840224217,0.157248775,0.139697953,0.139697953,0.033,0.693,0.31457307692307696,0.24393015873015872,0.20131060606060605,0.1989851851851852,0.05678333333333333,0.033525,0.3675333333333333,0.4652047619047619,0.24487619047619044,0.4997,0.3532571428571428
2030,0,0.285,0.451,0,0,0.912969453,0.578844491,0.832,0.876,0.365828569,0.992,0.874,0,0.862771913,0.575,0,0.931020342,0.851,0.154,0.419,0.014,0.578326759,0.454053425,0,0.855832882,0.158770955,0.174659863,0.174659863,0.026,0.523,0.3261923076923076,0.2515079365079365,0.2060757575757576,0.19685185185185183,0.04806666666666667,0.0423875,0.3924625,0.4896761904761905,0.23348095238095243,0.5196378378378378,0.3541285714285714
